id,document,label
1,영상이나 음악이 이쁘다 해도 미화시킨 불륜일뿐,0
2,히치콕이 이 영화를 봤다면 분명 박수를 쳤을듯...,1
3,괜찮은 음악영화가 또 나왔군요!!! 따뜻한 겨울이 될 것 같아요~,1
4,아무래도 20년도지난작품이라 지금보기는너무유치하다,0
5,지금까지의 영화들이 그랬듯. 이 영화역시 일본에 대한 미화는 여전하다.,0
6,내인생에 있어 손까락에 꼽히는 영화 원작을 능가한 리메이크작,1
7,성룡영화중 최악 .. 차라리 러시아워가 훨씬 나음,0
8,마음이 성숙하고 보면 다르게 보이는 영화.. 걸작이다.,1
9,"가슴 찡했던, 오래 기억에남을 영화!!",1
10,결말 기분나쁘다 공포매니아에게 이따위 결말을,0
11,즐겁게 본 성장 영화! 화이팅!,1
12,긴장감도없고 재미도없고 주제도 없다..,0
13,박신양때문에 ㄴㅐ 프로젝트는 망햇어 ㅜㅜ 윽 내 사랑 ㅜㅜ,1
14,말이 필요없다 절대 길게 느껴지지가 않는다,1
15,짧았지만 임팩트있었던 영화. 문채원씨 연기 정말 좋았습니다.,1
16,담담하게 서술해낸 기적같은 스포츠사의 한 이변..,1
17,우리가 사는 세계도 의심하리만치...,1
18,재미 때가리 없음 뭔 내용이 아무리 만화라지만 거지같은지 ㅡㅡ,0
19,"살짝 지루할 수 있으나, 두 배우의 명연기, 그리고 소재가 참신하다.",1
20,왜 전투씬이 없어..액션만화에 전투씬이 왜 없어..왜 적들이 다 발려..,0
21,"처절한 영화, 슬픈 영화, 씁쓸-한 영화...",1
22,처음부터 끝까지 유치 하기 그지 없다....난해한 영화,0
23,전쟁? 아이들의 목소리가 참 거슬린다.,0
24,멋진 상상력! 아름다운 영화. 여배우 소이의 재발견!,1
25,그 시대엔 이 영화가 최고였음,1
26,재미없다..애들도 싫어할듯..,0
27,initiation을 한글로 이니테이션이랜다,0
28,개빡치게하는드라마!!질퍽거려너 토나올지경이다!!,0
29,"카모메,안경은 재밌었는데..이건 지루하다..",0
30,닥터후 시리즈는 뭐다??? 관심이다!!,1
31,정말 아무것도 할일이 없다면 보세요. 2배속으로..,0
32,"현실적이지도, 그렇다고 환상적이지도 않은 불행한 로맨틱 코미디.",0
33,"소설을 모욕하는 영화, 추상미 자살씬만 기억에 남는다.",0
34,..... 이고은 잊기 울컥ㅜㅜㅜㅡ,1
35,왜 영점은없지 일점도 아까운디,0
36,좋은 의도로 만들었지만 영화내에선 그 의도를 느낄수 없다.,0
37,눈물흘리면서 봤습니다. 그리스도인들에게 추천합니다!,1
38,ㅋㅋㅋ역시 피터잭슨 ㅋㅋㅋ완전재밌어 ㅋㅋ,1
39,영화평점 작성하신분들 왜케 웃김ㅋㅋㅋ보다가 빵터졌어요ㅋㅋ,1
40,재밌었어요 스릴도 있었구요 액션신이 기억에 남아요,1
41,욕쟁이 할머니가 유쾌하게 그녀들과 함께하며 절대 지지 않는 이야기,1
42,사랑스러운 인물들의 희비극이 엇갈리는 삶...,1
43,"정준호 출연영화는 두사부일체, 거룩한 계보 말고는 보면 욕나옴",0
44,저 나이에 저런 연기를 펼칠수 있다는 자체가 기적에 가깝다.,1
45,그 당시엔 왜 에로물로 보였을까?,0
46,촌스럽고 지루해여 근데 유동근아내가 선생님팰땐 웃겨ㅛ음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
47,말이필요없다그냥영화를보면답이있다,1
48,개노잼 진심비추다 이거십점준애들뭐냐,0
49,아나 댓글이 더웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
